Projects,BHK,Society,Carpet_Area,Furnishing,Bathroom,Price,Rates
,3,Venkatesh Skydale,1244 sqft,Semi-Furnished,3,₹1.92 Cr ,₹10649 per sqft 
,2,Santiago Uptown,760 sqft,Unfurnished,2,₹69 Lac ,₹5610 per sqft 
,2,Kumar Parth Tower,788 sqft,Unfurnished,2,₹89 Lac ,₹8373 per sqft 
,4,,1945 sqft,Unfurnished,4,₹4.75 Cr ,₹18095 per sqft 
,2,Kairosa,,Unfurnished,2,₹48 Lac ,₹6015 per sqft 
,2,Rahul Downtown,786 sqft,Unfurnished,2,₹64 Lac ,₹6026 per sqft 
,4,Flamante By VTP Luxe Phase 1,1793 sqft,Unfurnished,4,₹1.93 Cr ,₹7689 per sqft 
,2,Gini Vivante,781 sqft,Unfurnished,2,₹65 Lac ,₹6126 per sqft 
,2,,806 sqft,Semi-Furnished,2,₹56 Lac ,₹4667 per sqft 
,3,Kohinoor Viva City,1085 sqft,Unfurnished,3,₹91.4 Lac ,₹6237 per sqft 
,3,VTP Beaumonde,1055 sqft,Unfurnished,3,₹1.15 Cr ,₹7372 per sqft 
,4,Yoo Pune,4000 sqft,Semi-Furnished,6,₹9.50 Cr ,₹17925 per sqft 
,2,32 Pinewood Drive,712 sqft,Unfurnished,2,₹68 Lac ,₹6409 per sqft 
,2,Kolte Patil Life Republic Arezo,738 sqft,Unfurnished,2,₹68 Lac ,₹7083 per sqft 
,2,,810 sqft,Unfurnished,2,₹69 Lac ,₹6273 per sqft 
,2,Divine Garden,837 sqft,Unfurnished,2,₹58 Lac ,₹5524 per sqft 
,2,Nivasa Enchante Phase I,790 sqft,Unfurnished,2,₹60 Lac ,₹5505 per sqft 
,2,Majestique Marbella,824 sqft,Unfurnished,2,₹90 Lac ,₹7627 per sqft 
,2,Majestique Towers,824 sqft,Unfurnished,2,₹1.04 Cr ,₹8739 per sqft 
,5,Eon Waterfront,,Semi-Furnished,5,₹5.15 Cr ,₹8583 per sqft 
,3,Mahindra Citadel,1150 sqft,Unfurnished,3,₹1.40 Cr ,₹9021 per sqft 
,3,Pristine Allure,1000 sqft,Unfurnished,3,₹1.11 Cr ,₹8090 per sqft 
,2,Cloud 51,824 sqft,Unfurnished,2,₹89.9 Lac ,₹7794 per sqft 
,2,My Homes Wakad,717 sqft,Unfurnished,2,₹75 Lac ,₹7246 per sqft 
,4,The Strand,2456 sqft,Semi-Furnished,4,₹3.21 Cr ,
,3,,1361 sqft,Unfurnished,3,₹1.90 Cr ,₹13960 per sqft 
,2,,905 sqft,Unfurnished,2,₹1.50 Cr ,₹11839 per sqft 
,2,Empyrean Leela,774 sqft,Unfurnished,2,₹96 Lac ,
,2,Nyati Emerald,838 sqft,Unfurnished,2,₹95 Lac ,₹8261 per sqft 
,2,Tinsel County,725 sqft,Unfurnished,2,₹59.5 Lac ,₹6130 per sqft 
,2,Kohinoor Shangrila,619 sqft,Unfurnished,2,₹75 Lac ,₹8651 per sqft 
,2,Majestique Towers,828 sqft,Unfurnished,2,₹92 Lac ,₹8519 per sqft 
,3,Shubh Tristar,1268 sqft,Unfurnished,3,₹1.41 Cr ,₹8236 per sqft 
